,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,1a,1a,2a,2a,3a,3a,4a,4a,5a,5a,6a,6a,7a,7a,8a,8a,9a,9a,10a,10a,11a,11a,12a,12a
B,1a,,2a,,3a,,4a,,5a,,6a,,7a,,8a,,9a,,10a,,11a,,12a,
C,,,,,,,,,,,,,,,,,,,,,,,,
D,1b,1b,2b,2b,3b,3b,4b,4b,5b,5b,6b,6b,7b,7b,8b,8b,9b,9b,10b,10b,11b,11b,12b,12b
E,1b,,2b,,3b,,4b,,5b,,6b,,7b,,8b,,9b,,10b,,11b,,12b,
F,,,,,,,,,,,,,,,,,,,,,,,,
G,1c,1c,2c,2c,3c,3c,4c,4c,5c,5c,6c,6c,7c,7c,8c,8c,9c,9c,10c,10c,11c,11c,12c,12c
H,1c,,2c,,3c,,4c,,5c,,6c,,7c,,8c,,9c,,10c,,11c,,12c,
I,,,,,,,,,,,,,,,,,,,,,,,,
J,1,13,2,14,3,15,4,16,5,17,6,18,7,19,8,20,9,21,10,22,11,23,12,24
K,,,,,,,,,,,,,,,,,,,,,,,,
L,,,,,,,,,,,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,