,time,row_384,column_384,rfu_value,concentration,replicate
0,00:00:00,D,1,100.381,10E-11,a
1,00:00:00,D,2,45.031,H20,a
2,00:00:00,D,3,60.979,10E-13,a
3,00:00:00,D,4,30.021,H20,a
4,00:00:00,D,5,63.794,10E-16,a
5,00:00:00,D,6,51.598,H20,a
6,00:00:00,D,7,43.155,0,a
7,00:00:00,D,8,54.412,H20,a
8,00:00:00,D,9,53.474,10E-11,b
9,00:00:00,D,10,56.288999999999994,H20,b
10,00:00:00,D,11,38.464,10E-13,b
11,00:00:00,D,12,45.968999999999994,H20,b
12,00:00:00,D,13,30.959,10E-16,b
13,00:00:00,D,14,48.783,H20,b
14,00:00:00,D,15,45.031000000000006,0,b
15,00:00:00,D,16,49.722,H20,b
16,00:00:45,D,1,86.595,10E-11,a
17,00:00:45,D,2,36.709,H20,a
18,00:00:45,D,3,48.945,10E-13,a
19,00:00:45,D,4,52.71,H20,a
20,00:00:45,D,5,46.121,10E-16,a
21,00:00:45,D,6,51.769,H20,a
22,00:00:45,D,7,56.475,0,a
23,00:00:45,D,8,57.417,H20,a
24,00:00:45,D,9,65.888,10E-11,b
25,00:00:45,D,10,52.71,H20,b
26,00:00:45,D,11,61.181999999999995,10E-13,b
27,00:00:45,D,12,49.887,H20,b
28,00:00:45,D,13,65.888,10E-16,b
29,00:00:45,D,14,48.945,H20,b
30,00:00:45,D,15,59.299,0,b
31,00:00:45,D,16,66.829,H20,b
32,00:01:30,D,1,88.48700000000001,10E-11,a
33,00:01:30,D,2,50.833,H20,a
34,00:01:30,D,3,48.95,10E-13,a
35,00:01:30,D,4,58.364,H20,a
36,00:01:30,D,5,54.598,10E-16,a
37,00:01:30,D,6,65.894,H20,a
38,00:01:30,D,7,48.95,0,a
39,00:01:30,D,8,46.126000000000005,H20,a
40,00:01:30,D,9,67.777,10E-11,b
41,00:01:30,D,10,54.598,H20,b
42,00:01:30,D,11,50.833,10E-13,b
43,00:01:30,D,12,60.246,H20,b
44,00:01:30,D,13,64.012,10E-16,b
45,00:01:30,D,14,58.364,H20,b
46,00:01:30,D,15,68.718,0,b
47,00:01:30,D,16,46.126000000000005,H20,b
48,00:02:15,D,1,79.839,10E-11,a
49,00:02:15,D,2,55.418,H20,a
50,00:02:15,D,3,56.357,10E-13,a
51,00:02:15,D,4,54.478,H20,a
52,00:02:15,D,5,73.264,10E-16,a
53,00:02:15,D,6,52.6,H20,a
54,00:02:15,D,7,59.175,0,a
55,00:02:15,D,8,55.418,H20,a
56,00:02:15,D,9,81.718,10E-11,b
57,00:02:15,D,10,62.931999999999995,H20,b
58,00:02:15,D,11,60.114,10E-13,b
59,00:02:15,D,12,51.661,H20,b
60,00:02:15,D,13,74.203,10E-16,b
61,00:02:15,D,14,60.114,H20,b
62,00:02:15,D,15,56.357,0,b
63,00:02:15,D,16,66.689,H20,b
64,00:03:00,D,1,101.85600000000001,10E-11,a
65,00:03:00,D,2,61.302,H20,a
66,00:03:00,D,3,61.302,10E-13,a
67,00:03:00,D,4,66.018,H20,a
68,00:03:00,D,5,65.075,10E-16,a
69,00:03:00,D,6,55.644,H20,a
70,00:03:00,D,7,56.586999999999996,0,a
71,00:03:00,D,8,75.449,H20,a
72,00:03:00,D,9,78.278,10E-11,b
73,00:03:00,D,10,59.416000000000004,H20,b
74,00:03:00,D,11,66.961,10E-13,b
75,00:03:00,D,12,56.586999999999996,H20,b
76,00:03:00,D,13,56.586999999999996,10E-16,b
77,00:03:00,D,14,78.278,H20,b
78,00:03:00,D,15,67.904,0,b
79,00:03:00,D,16,62.246,H20,b
80,00:03:45,D,1,96.994,10E-11,a
81,00:03:45,D,2,58.385,H20,a
82,00:03:45,D,3,70.627,10E-13,a
83,00:03:45,D,4,69.685,H20,a
84,00:03:45,D,5,59.327,10E-16,a
85,00:03:45,D,6,56.502,H20,a
86,00:03:45,D,7,71.569,0,a
87,00:03:45,D,8,64.977,H20,a
88,00:03:45,D,9,72.51,10E-11,b
89,00:03:45,D,10,97.936,H20,b
90,00:03:45,D,11,67.80199999999999,10E-13,b
91,00:03:45,D,12,63.093,H20,b
92,00:03:45,D,13,67.80199999999999,10E-16,b
93,00:03:45,D,14,56.501999999999995,H20,b
94,00:03:45,D,15,64.977,0,b
95,00:03:45,D,16,48.026,H20,b
96,00:04:30,D,1,82.852,10E-11,a
97,00:04:30,D,2,63.08,H20,a
98,00:04:30,D,3,50.841,10E-13,a
99,00:04:30,D,4,50.841,H20,a
100,00:04:30,D,5,60.256,10E-16,a
101,00:04:30,D,6,66.846,H20,a
102,00:04:30,D,7,73.437,0,a
103,00:04:30,D,8,76.26100000000001,H20,a
104,00:04:30,D,9,79.086,10E-11,b
105,00:04:30,D,10,59.31399999999999,H20,b
106,00:04:30,D,11,70.612,10E-13,b
107,00:04:30,D,12,62.138999999999996,H20,b
108,00:04:30,D,13,51.782,10E-16,b
109,00:04:30,D,14,48.958,H20,b
110,00:04:30,D,15,64.96300000000001,0,b
111,00:04:30,D,16,41.426,H20,b
112,00:05:15,D,1,77.354,10E-11,a
113,00:05:15,D,2,63.204,H20,a
114,00:05:15,D,3,68.864,10E-13,a
115,00:05:15,D,4,49.997,H20,a
116,00:05:15,D,5,61.317,10E-16,a
117,00:05:15,D,6,65.09,H20,a
118,00:05:15,D,7,63.20399999999999,0,a
119,00:05:15,D,8,62.26,H20,a
120,00:05:15,D,9,57.544,10E-11,b
121,00:05:15,D,10,48.11,H20,b
122,00:05:15,D,11,67.92,10E-13,b
123,00:05:15,D,12,59.43,H20,b
124,00:05:15,D,13,56.6,10E-16,b
125,00:05:15,D,14,45.28,H20,b
126,00:05:15,D,15,62.26,0,b
127,00:05:15,D,16,60.373999999999995,H20,b
128,00:06:00,D,1,81.12899999999999,10E-11,a
129,00:06:00,D,2,64.149,H20,a
130,00:06:00,D,3,71.696,10E-13,a
131,00:06:00,D,4,66.979,H20,a
132,00:06:00,D,5,66.035,10E-16,a
133,00:06:00,D,6,49.055,H20,a
134,00:06:00,D,7,53.772,0,a
135,00:06:00,D,8,82.073,H20,a
136,00:06:00,D,9,82.073,10E-11,b
137,00:06:00,D,10,46.225,H20,b
138,00:06:00,D,11,71.696,10E-13,b
139,00:06:00,D,12,58.489,H20,b
140,00:06:00,D,13,61.318999999999996,10E-16,b
141,00:06:00,D,14,56.602,H20,b
142,00:06:00,D,15,49.998000000000005,0,b
143,00:06:00,D,16,46.225,H20,b
144,00:06:45,D,1,81.37100000000001,10E-11,a
145,00:06:45,D,2,67.178,H20,a
146,00:06:45,D,3,65.286,10E-13,a
147,00:06:45,D,4,78.532,H20,a
148,00:06:45,D,5,72.855,10E-16,a
149,00:06:45,D,6,61.501,H20,a
150,00:06:45,D,7,79.47800000000001,0,a
151,00:06:45,D,8,56.77,H20,a
152,00:06:45,D,9,97.456,10E-11,b
153,00:06:45,D,10,48.255,H20,b
154,00:06:45,D,11,62.446999999999996,10E-13,b
155,00:06:45,D,12,55.824,H20,b
156,00:06:45,D,13,62.446999999999996,10E-16,b
157,00:06:45,D,14,63.394,H20,b
158,00:06:45,D,15,66.232,0,b
159,00:06:45,D,16,49.201,H20,b
160,00:07:30,D,1,92.45,10E-11,a
161,00:07:30,D,2,71.696,H20,a
162,00:07:30,D,3,55.659,10E-13,a
163,00:07:30,D,4,59.432,H20,a
164,00:07:30,D,5,84.903,10E-16,a
165,00:07:30,D,6,67.922,H20,a
166,00:07:30,D,7,67.922,0,a
167,00:07:30,D,8,61.318999999999996,H20,a
168,00:07:30,D,9,96.223,10E-11,b
169,00:07:30,D,10,56.602,H20,b
170,00:07:30,D,11,62.262,10E-13,b
171,00:07:30,D,12,64.149,H20,b
172,00:07:30,D,13,59.431999999999995,10E-16,b
173,00:07:30,D,14,70.753,H20,b
174,00:07:30,D,15,66.036,0,b
175,00:07:30,D,16,41.508,H20,b
176,00:08:15,D,1,73.829,10E-11,a
177,00:08:15,D,2,58.684,H20,a
178,00:08:15,D,3,70.042,10E-13,a
179,00:08:15,D,4,84.24,H20,a
180,00:08:15,D,5,70.989,10E-16,a
181,00:08:15,D,6,59.631,H20,a
182,00:08:15,D,7,66.256,0,a
183,00:08:15,D,8,59.631,H20,a
184,00:08:15,D,9,62.47,10E-11,b
185,00:08:15,D,10,73.829,H20,b
186,00:08:15,D,11,53.952,10E-13,b
187,00:08:15,D,12,55.845,H20,b
188,00:08:15,D,13,81.40100000000001,10E-16,b
189,00:08:15,D,14,78.561,H20,b
190,00:08:15,D,15,51.111999999999995,0,b
191,00:08:15,D,16,53.952,H20,b
192,00:09:00,D,1,68.207,10E-11,a
193,00:09:00,D,2,80.523,H20,a
194,00:09:00,D,3,59.682,10E-13,a
195,00:09:00,D,4,49.261,H20,a
196,00:09:00,D,5,69.155,10E-16,a
197,00:09:00,D,6,66.313,H20,a
198,00:09:00,D,7,73.891,0,a
199,00:09:00,D,8,78.628,H20,a
200,00:09:00,D,9,88.101,10E-11,b
201,00:09:00,D,10,49.261,H20,b
202,00:09:00,D,11,57.787,10E-13,b
203,00:09:00,D,12,52.103,H20,b
204,00:09:00,D,13,79.575,10E-16,b
205,00:09:00,D,14,51.156000000000006,H20,b
206,00:09:00,D,15,60.629,0,b
207,00:09:00,D,16,62.523,H20,b
208,00:09:45,D,1,84.21,10E-11,a
209,00:09:45,D,2,73.802,H20,a
210,00:09:45,D,3,60.556,10E-13,a
211,00:09:45,D,4,79.479,H20,a
212,00:09:45,D,5,67.179,10E-16,a
213,00:09:45,D,6,65.286,H20,a
214,00:09:45,D,7,78.533,0,a
215,00:09:45,D,8,75.694,H20,a
216,00:09:45,D,9,59.608999999999995,10E-11,b
217,00:09:45,D,10,64.34,H20,b
218,00:09:45,D,11,71.91,10E-13,b
219,00:09:45,D,12,83.264,H20,b
220,00:09:45,D,13,58.663000000000004,10E-16,b
221,00:09:45,D,14,71.91,H20,b
222,00:09:45,D,15,70.017,0,b
223,00:09:45,D,16,70.017,H20,b
224,00:10:30,D,1,71.051,10E-11,a
225,00:10:30,D,2,84.314,H20,a
226,00:10:30,D,3,74.84,10E-13,a
227,00:10:30,D,4,54.946,H20,a
228,00:10:30,D,5,73.893,10E-16,a
229,00:10:30,D,6,66.314,H20,a
230,00:10:30,D,7,59.683,0,a
231,00:10:30,D,8,78.63,H20,a
232,00:10:30,D,9,87.156,10E-11,b
233,00:10:30,D,10,47.367,H20,b
234,00:10:30,D,11,64.419,10E-13,b
235,00:10:30,D,12,57.788000000000004,H20,b
236,00:10:30,D,13,74.84,10E-16,b
237,00:10:30,D,14,56.841,H20,b
238,00:10:30,D,15,55.893,0,b
239,00:10:30,D,16,67.26100000000001,H20,b
240,00:11:15,D,1,80.363,10E-11,a
241,00:11:15,D,2,65.236,H20,a
242,00:11:15,D,3,55.782,10E-13,a
243,00:11:15,D,4,70.909,H20,a
244,00:11:15,D,5,55.782,10E-16,a
245,00:11:15,D,6,85.091,H20,a
246,00:11:15,D,7,85.09100000000001,0,a
247,00:11:15,D,8,69.96300000000001,H20,a
248,00:11:15,D,9,69.018,10E-11,b
249,00:11:15,D,10,61.45399999999999,H20,b
250,00:11:15,D,11,52.945,10E-13,b
251,00:11:15,D,12,72.8,H20,b
252,00:11:15,D,13,52.945,10E-16,b
253,00:11:15,D,14,60.50899999999999,H20,b
254,00:11:15,D,15,68.07300000000001,0,b
255,00:11:15,D,16,55.782,H20,b
256,00:12:00,D,1,71.131,10E-11,a
257,00:12:00,D,2,63.544,H20,a
258,00:12:00,D,3,65.441,10E-13,a
259,00:12:00,D,4,65.441,H20,a
260,00:12:00,D,5,55.956,10E-16,a
261,00:12:00,D,6,62.595,H20,a
262,00:12:00,D,7,68.286,0,a
263,00:12:00,D,8,84.40899999999999,H20,a
264,00:12:00,D,9,60.699,10E-11,b
265,00:12:00,D,10,51.214,H20,b
266,00:12:00,D,11,77.77,10E-13,b
267,00:12:00,D,12,60.699,H20,b
268,00:12:00,D,13,86.306,10E-16,b
269,00:12:00,D,14,66.389,H20,b
270,00:12:00,D,15,66.389,0,b
271,00:12:00,D,16,64.492,H20,b
272,00:12:45,D,1,65.485,10E-11,a
273,00:12:45,D,2,79.721,H20,a
274,00:12:45,D,3,72.129,10E-13,a
275,00:12:45,D,4,57.893,H20,a
276,00:12:45,D,5,62.638,10E-16,a
277,00:12:45,D,6,71.18,H20,a
278,00:12:45,D,7,69.281,0,a
279,00:12:45,D,8,58.842,H20,a
280,00:12:45,D,9,73.078,10E-11,b
281,00:12:45,D,10,54.096000000000004,H20,b
282,00:12:45,D,11,60.74,10E-13,b
283,00:12:45,D,12,63.586999999999996,H20,b
284,00:12:45,D,13,63.586999999999996,10E-16,b
285,00:12:45,D,14,55.045,H20,b
286,00:12:45,D,15,64.536,0,b
287,00:12:45,D,16,55.045,H20,b
288,00:13:30,D,1,77.05199999999999,10E-11,a
289,00:13:30,D,2,61.832,H20,a
290,00:13:30,D,3,76.101,10E-13,a
291,00:13:30,D,4,47.563,H20,a
292,00:13:30,D,5,67.539,10E-16,a
293,00:13:30,D,6,78.954,H20,a
294,00:13:30,D,7,58.027,0,a
295,00:13:30,D,8,65.637,H20,a
296,00:13:30,D,9,65.637,10E-11,b
297,00:13:30,D,10,66.58800000000001,H20,b
298,00:13:30,D,11,63.733999999999995,10E-13,b
299,00:13:30,D,12,58.978,H20,b
300,00:13:30,D,13,66.58800000000001,10E-16,b
301,00:13:30,D,14,59.928999999999995,H20,b
302,00:13:30,D,15,64.685,0,b
303,00:13:30,D,16,58.027,H20,b
304,00:14:15,D,1,60.696000000000005,10E-11,a
305,00:14:15,D,2,64.49,H20,a
306,00:14:15,D,3,68.283,10E-13,a
307,00:14:15,D,4,64.49,H20,a
308,00:14:15,D,5,57.851,10E-16,a
309,00:14:15,D,6,64.49,H20,a
310,00:14:15,D,7,59.748000000000005,0,a
311,00:14:15,D,8,89.148,H20,a
312,00:14:15,D,9,63.542,10E-11,b
313,00:14:15,D,10,55.955,H20,b
314,00:14:15,D,11,78.71600000000001,10E-13,b
315,00:14:15,D,12,69.232,H20,b
316,00:14:15,D,13,62.593,10E-16,b
317,00:14:15,D,14,60.696000000000005,H20,b
318,00:14:15,D,15,74.922,0,b
319,00:14:15,D,16,70.18,H20,b
320,00:15:00,D,1,67.243,10E-11,a
321,00:15:00,D,2,66.296,H20,a
322,00:15:00,D,3,60.613,10E-13,a
323,00:15:00,D,4,67.243,H20,a
324,00:15:00,D,5,54.931,10E-16,a
325,00:15:00,D,6,61.56,H20,a
326,00:15:00,D,7,61.56,0,a
327,00:15:00,D,8,63.45399999999999,H20,a
328,00:15:00,D,9,48.301,10E-11,b
329,00:15:00,D,10,59.666000000000004,H20,b
330,00:15:00,D,11,59.666000000000004,10E-13,b
331,00:15:00,D,12,59.666000000000004,H20,b
332,00:15:00,D,13,61.56,10E-16,b
333,00:15:00,D,14,72.925,H20,b
334,00:15:00,D,15,53.983999999999995,0,b
335,00:15:00,D,16,54.931000000000004,H20,b
336,00:15:45,D,1,79.673,10E-11,a
337,00:15:45,D,2,70.188,H20,a
338,00:15:45,D,3,67.342,10E-13,a
339,00:15:45,D,4,65.445,H20,a
340,00:15:45,D,5,65.445,10E-16,a
341,00:15:45,D,6,69.239,H20,a
342,00:15:45,D,7,59.754,0,a
343,00:15:45,D,8,54.063,H20,a
344,00:15:45,D,9,71.13600000000001,10E-11,b
345,00:15:45,D,10,64.497,H20,b
346,00:15:45,D,11,62.6,10E-13,b
347,00:15:45,D,12,53.115,H20,b
348,00:15:45,D,13,55.96,10E-16,b
349,00:15:45,D,14,59.754,H20,b
350,00:15:45,D,15,60.703,0,b
351,00:15:45,D,16,58.806000000000004,H20,b
352,00:16:30,D,1,65.44,10E-11,a
353,00:16:30,D,2,58.801,H20,a
354,00:16:30,D,3,75.872,10E-13,a
355,00:16:30,D,4,67.336,H20,a
356,00:16:30,D,5,60.698,10E-16,a
357,00:16:30,D,6,71.13,H20,a
358,00:16:30,D,7,62.593999999999994,0,a
359,00:16:30,D,8,50.265,H20,a
360,00:16:30,D,9,80.61399999999999,10E-11,b
361,00:16:30,D,10,51.214,H20,b
362,00:16:30,D,11,55.956,10E-13,b
363,00:16:30,D,12,75.872,H20,b
364,00:16:30,D,13,56.903999999999996,10E-16,b
365,00:16:30,D,14,67.336,H20,b
366,00:16:30,D,15,66.388,0,b
367,00:16:30,D,16,75.872,H20,b
368,00:17:15,D,1,84.435,10E-11,a
369,00:17:15,D,2,84.435,H20,a
370,00:17:15,D,3,57.871,10E-13,a
371,00:17:15,D,4,66.41,H20,a
372,00:17:15,D,5,56.923,10E-16,a
373,00:17:15,D,6,77.794,H20,a
374,00:17:15,D,7,61.666000000000004,0,a
375,00:17:15,D,8,61.666000000000004,H20,a
376,00:17:15,D,9,58.82,10E-11,b
377,00:17:15,D,10,64.512,H20,b
378,00:17:15,D,11,75.89699999999999,10E-13,b
379,00:17:15,D,12,55.974,H20,b
380,00:17:15,D,13,46.486999999999995,10E-16,b
381,00:17:15,D,14,51.23,H20,b
382,00:17:15,D,15,63.56399999999999,0,b
383,00:17:15,D,16,54.076,H20,b
384,00:18:00,D,1,76.946,10E-11,a
385,00:18:00,D,2,68.396,H20,a
386,00:18:00,D,3,64.596,10E-13,a
387,00:18:00,D,4,64.596,H20,a
388,00:18:00,D,5,61.747,10E-16,a
389,00:18:00,D,6,72.196,H20,a
390,00:18:00,D,7,62.696000000000005,0,a
391,00:18:00,D,8,60.797,H20,a
392,00:18:00,D,9,84.545,10E-11,b
393,00:18:00,D,10,56.047,H20,b
394,00:18:00,D,11,69.346,10E-13,b
395,00:18:00,D,12,52.247,H20,b
396,00:18:00,D,13,84.545,10E-16,b
397,00:18:00,D,14,61.747,H20,b
398,00:18:00,D,15,70.296,0,b
399,00:18:00,D,16,65.546,H20,b
400,00:18:45,D,1,67.476,10E-11,a
401,00:18:45,D,2,69.377,H20,a
402,00:18:45,D,3,79.831,10E-13,a
403,00:18:45,D,4,62.724,H20,a
404,00:18:45,D,5,56.072,10E-16,a
405,00:18:45,D,6,50.369,H20,a
406,00:18:45,D,7,55.121,0,a
407,00:18:45,D,8,54.17100000000001,H20,a
408,00:18:45,D,9,69.377,10E-11,b
409,00:18:45,D,10,67.476,H20,b
410,00:18:45,D,11,73.178,10E-13,b
411,00:18:45,D,12,56.071999999999996,H20,b
412,00:18:45,D,13,60.823,10E-16,b
413,00:18:45,D,14,63.674,H20,b
414,00:18:45,D,15,72.22800000000001,0,b
415,00:18:45,D,16,74.128,H20,b
416,00:19:30,D,1,65.685,10E-11,a
417,00:19:30,D,2,70.445,H20,a
418,00:19:30,D,3,56.165,10E-13,a
419,00:19:30,D,4,53.31,H20,a
420,00:19:30,D,5,58.069,10E-16,a
421,00:19:30,D,6,42.838,H20,a
422,00:19:30,D,7,73.301,0,a
423,00:19:30,D,8,62.82899999999999,H20,a
424,00:19:30,D,9,71.39699999999999,10E-11,b
425,00:19:30,D,10,64.733,H20,b
426,00:19:30,D,11,63.781000000000006,10E-13,b
427,00:19:30,D,12,54.262,H20,b
428,00:19:30,D,13,54.262,10E-16,b
429,00:19:30,D,14,71.39699999999999,H20,b
430,00:19:30,D,15,61.876999999999995,0,b
431,00:19:30,D,16,61.876999999999995,H20,b
